Measurement,Azimuth,Elevation,Frequency,Magnitude
16,180.0,20.0,7453.125,-13.892318142650007
16,180.0,20.0,8203.125,-22.493737533489583
16,180.0,20.0,8531.25,-33.06847444575012
16,180.0,20.0,8671.875,-35.636434069265725
16,180.0,20.0,8953.125,-26.053853125547345
16,180.0,20.0,9328.125,-21.746100143562906
16,180.0,20.0,10546.875,-13.759176916614118
16,180.0,20.0,12234.375,-22.836940145707185
16,180.0,20.0,13359.375,-23.307873228754463
16,180.0,20.0,14578.125,-15.207413147380402
16,180.0,20.0,15468.75,-20.81890016007496
16,180.0,20.0,16828.125,-23.17818755228538
16,180.0,20.0,17718.75,-31.1500044541868
